Target Name	Accession	Description	Occurrences
GRXB	TIGR02182.1	JCVI: glutaredoxin, GrxB family	4
DHPS	TIGR01496.1	JCVI: dihydropteroate synthase	7
glyox_I	TIGR00068.2	JCVI: lactoylglutathione lyase	16
498180014_fosA	NF000125.1	NCBIFAM: Fos family putative thiol transferase	9
ArsI_CadI_VOC	NF041414.1	NCBIFAM: ArsI/CadI family heavy metal resistance metalloenzyme	4
FosG	NF000467.1	NCBIFAM: FosG family fosfomycin resistance glutathione transferase	4
23dbph12diox	TIGR03213.1	JCVI: biphenyl-2,3-diol 1,2-dioxygenase	6
FosF	NF000494.1	NCBIFAM: fosfomycin resistance glutathione transferase FosF	6
PRK10291.1	NF007629.0	NCBI Protein Cluster (PRK): lactoylglutathione lyase	5
fos-Crono	NF000339.2	NCBIFAM: FosA family fosfomycin resistance glutathione transferase	3
TIGR00305	TIGR00305.1	JCVI: putative toxin-antitoxin system toxin component, PIN family	6
livcs	TIGR00796.1	JCVI: branched-chain amino acid transport system II carrier protein	1
PRK15433.1	NF011962.0	NCBI Protein Cluster (PRK): branched-chain amino acid transporter carrier protein BrnQ	1
PRK00733.3-5	NF001960.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
PRK00733.3-6	NF001961.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
PRK00733.3-4	NF001959.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
PRK00733.3-2	NF001957.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
PRK00733.2-4	NF001955.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
PRK00733.2-2	NF001954.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
V_PPase	TIGR01104.1	JCVI: V-type H(+)-translocating pyrophosphatase	1
PRK00733.3-3	NF001958.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
PRK00733.1-2	NF001951.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
PRK00733.2-1	NF001953.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
PRK00733.3-1	NF001956.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
PRK00733.1-4	NF001952.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
PRK00733.1-1	NF001950.0	NCBI Protein Cluster (PRK): sodium-translocating pyrophosphatase	1
PRK14737.1	NF011324.0	NCBI Protein Cluster (PRK): guanylate kinase	2
PRK14738.1	NF011325.0	NCBI Protein Cluster (PRK): guanylate kinase	2
phosphon_PhnN	TIGR02322.1	JCVI: phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN	5
PRK10078.1	NF007485.0	NCBI Protein Cluster (PRK): ribose 1,5-bisphosphokinase	1
CV_2116_dom	NF046097.1	NCBIFAM: CV_2116 domain	2
LdtF_DpaA_YafK	NF040599.1	NCBIFAM: peptidoglycan meso-diaminopimelic acid protein amidase	2
PRK10507.1	NF007801.0	NCBI Protein Cluster (PRK): bifunctional glutathionylspermidine amidase/synthase	1
TIGR02677	TIGR02677.1	JCVI: TIGR02677 family protein	1
PRK11275.1	NF008435.0	NCBI Protein Cluster (PRK): phosphate ABC transporter permease PstC	3
PRK00431.2-2	NF001666.0	NCBI Protein Cluster (PRK): ADP-ribose-binding protein	4
YbgI_SA1388	TIGR00486.1	JCVI: Nif3-like dinuclear metal center hexameric protein	4
PRK10799.1	NF008064.0	NCBI Protein Cluster (PRK): type 2 GTP cyclohydrolase I	7
PRK06027.1	NF004684.0	NCBI Protein Cluster (PRK): formyltetrahydrofolate deformylase	6
PurU	TIGR00655.1	JCVI: formyltetrahydrofolate deformylase	5
PRK07579.1	NF005755.0	NCBI Protein Cluster (PRK): dTDP-4-amino-4,6-dideoxyglucose formyltransferase	5
CatA_like_1	NF033155.1	NCBIFAM: CatA-like O-acetyltransferase, family 1	1
CatA_like_3	NF040638.1	NCBIFAM: CatA-like O-acetyltransferase, family 3	1
CatA_like_2	NF040637.1	NCBIFAM: CatA-like O-acetyltransferase, family 2	1
PRK04337.1	NF003326.0	NCBI Protein Cluster (PRK): 50S ribosomal protein L35ae	1
argG	TIGR00032.1	JCVI: argininosuccinate synthase	4
argG_rel	NF038212.1	NCBIFAM: argininosuccinate synthase-related protein	4
PRK05370.1	NF003779.0	NCBI Protein Cluster (PRK): argininosuccinate synthase	1
rSAM_QueE_Ecoli	TIGR04322.1	JCVI: 7-carboxy-7-deazaguanine synthase QueE	3
queE_Cx14CxxC	TIGR04508.1	JCVI: 7-carboxy-7-deazaguanine synthase	2
PRK11145.1	NF008356.0	NCBI Protein Cluster (PRK): pyruvate formate lyase 1-activating protein	3
sulfopy_beta	TIGR03846.1	JCVI: sulfopyruvate decarboxylase subunit beta	6
PRK06163.1	NF004813.0	NCBI Protein Cluster (PRK): hypothetical protein	6
PRK11784.1-4	NF008752.0	NCBI Protein Cluster (PRK): tRNA 2-selenouridine(34) synthase MnmH	4
tRNA_sel_U_synt	TIGR03167.1	JCVI: tRNA 2-selenouridine(34) synthase MnmH	3
PRK10287.1	NF007627.0	NCBI Protein Cluster (PRK): thiosulfate sulfurtransferase PspE	1
fusion_not_SelD	TIGR04369.1	JCVI: oxidoreductase/SelD-related fusion protein	10
phageshock_pspE	TIGR02981.1	JCVI: thiosulfate sulfurtransferase PspE	1
PRK09496.3-6	NF007043.0	NCBI Protein Cluster (PRK): Trk system potassium transporter TrkA	6
PRK11784.1-3	NF008751.0	NCBI Protein Cluster (PRK): tRNA 2-selenouridine(34) synthase MnmH	1
PRK09496.3-4	NF007041.0	NCBI Protein Cluster (PRK): Trk system potassium transporter TrkA	4
arch_SelU_Nterm	TIGR04568.1	JCVI: selenouridine synthase SelU N-terminal-like subunit	2
PRK09496.1-4	NF007032.0	NCBI Protein Cluster (PRK): Trk system potassium transporter TrkA	5
PRK09496.2-4	NF007037.0	NCBI Protein Cluster (PRK): Trk system potassium transporter TrkA	2
PRK11784.1-1	NF008749.0	NCBI Protein Cluster (PRK): tRNA 2-selenouridine(34) synthase MnmH	1
PRK10738.1	NF008009.0	NCBI Protein Cluster (PRK): OsmC family protein	2
PRK00984.1-3	NF002154.0	NCBI Protein Cluster (PRK): tRNA pseudouridine(13) synthase TruD	2
PRK00984.1-4	NF002155.0	NCBI Protein Cluster (PRK): tRNA pseudouridine(13) synthase TruD	1
PRK00984.1-2	NF002153.0	NCBI Protein Cluster (PRK): tRNA pseudouridine(13) synthase TruD	1
tRNA_TruD_broad	TIGR00094.1	JCVI: tRNA pseudouridine(13) synthase TruD	2
PRK00984.2-5	NF002160.0	NCBI Protein Cluster (PRK): tRNA pseudouridine(13) synthase TruD	2
PRK00984.2-1	NF002156.0	NCBI Protein Cluster (PRK): tRNA pseudouridine(13) synthase TruD	2
PRK00984.2-3	NF002158.0	NCBI Protein Cluster (PRK): tRNA pseudouridine(13) synthase TruD	3
smalltalk	NF033879.1	NCBIFAM: smalltalk protein	1
PRK11357.1	NF008466.1	NCBI Protein Cluster (PRK): fructoselysine/psicoselysine transporter FrlA	3
kynureninase	TIGR01814.1	JCVI: kynureninase	1
SepCysS	TIGR02539.1	JCVI: O-phospho-L-seryl-tRNA:Cys-tRNA synthase	2
PRK01250.1	NF002317.0	NCBI Protein Cluster (PRK): inorganic diphosphatase	2
PRK02230.1	NF002578.0	NCBI Protein Cluster (PRK): inorganic pyrophosphatase	2
PRK00642.1	NF001886.0	NCBI Protein Cluster (PRK): inorganic pyrophosphatase	3
PRK11505.1	NF008560.0	NCBI Protein Cluster (PRK): phosphate starvation-inducible protein PsiF	6
PRK11827.1	NF008806.0	NCBI Protein Cluster (PRK): protein YcaR	1
Trm112_arch	NF038101.1	NCBIFAM: methytransferase partner Trm112	1
transpos_ISC774	NF033588.1	NCBIFAM: IS6 family transposase	2
rSAM_HutW	TIGR04107.1	JCVI: heme anaerobic degradation radical SAM methyltransferase ChuW/HutW	7
PRK08208.1	NF006067.1	NCBI Protein Cluster (PRK): STM4012 family radical SAM protein	4
hemN_rel	TIGR00539.1	JCVI: radical SAM family heme chaperone HemW	4
hemN	TIGR00538.1	JCVI: oxygen-independent coproporphyrinogen III oxidase	4
rSAM_HemZ	TIGR03994.1	JCVI: coproporphyrinogen dehydrogenase HemZ	4
PRK08207.2-2	NF006064.0	NCBI Protein Cluster (PRK): coproporphyrinogen III oxidase	4
PRK06582.1	NF005133.0	NCBI Protein Cluster (PRK): coproporphyrinogen III oxidase	4
PRK05904.1	NF004567.0	NCBI Protein Cluster (PRK): coproporphyrinogen III oxidase	4
PRK08629.1	NF006385.0	NCBI Protein Cluster (PRK): coproporphyrinogen III oxidase family protein	4
PRK08207.1-4	NF006061.0	NCBI Protein Cluster (PRK): coproporphyrinogen III oxidase	4
PRK08207.1-3	NF006060.0	NCBI Protein Cluster (PRK): coproporphyrinogen III oxidase	4
PRK08207.2-1	NF006063.0	NCBI Protein Cluster (PRK): coproporphyrinogen III oxidase	2
PRK08207.1-5	NF006062.0	NCBI Protein Cluster (PRK): coproporphyrinogen III oxidase	4
PRK08207.2-5	NF006066.0	NCBI Protein Cluster (PRK): coproporphyrinogen III oxidase	4
PRK08207.1-1	NF006059.0	NCBI Protein Cluster (PRK): coproporphyrinogen III oxidase	4
PRK08207.2-4	NF006065.0	NCBI Protein Cluster (PRK): coproporphyrinogen III oxidase	4
PRK14703.1	NF011291.0	NCBI Protein Cluster (PRK): glutamine--tRNA ligase/YqeY domain fusion protein	2
glnS	TIGR00440.1	JCVI: glutamine--tRNA ligase	1
gltX_arch	TIGR00463.1	JCVI: glutamate--tRNA ligase	1
PRK04156.1	NF003169.0	NCBI Protein Cluster (PRK): glutamate--tRNA ligase	1
gltX_bact	TIGR00464.1	JCVI: glutamate--tRNA ligase	1
PRK05710.1-4	NF004315.1	NCBI Protein Cluster (PRK): tRNA glutamyl-Q(34) synthetase GluQRS	1
PRK05710.1-3	NF004314.0	NCBI Protein Cluster (PRK): tRNA glutamyl-Q(34) synthetase GluQRS	1
queuosine_YadB	TIGR03838.1	JCVI: tRNA glutamyl-Q(34) synthetase GluQRS	1
PRK01029.1	NF002183.0	NCBI Protein Cluster (PRK): Tol-Pal system protein TolB	7
accD	TIGR00515.1	JCVI: acetyl-CoA carboxylase, carboxyltransferase subunit beta	4
mmdA	TIGR01117.1	JCVI: methylmalonyl-CoA decarboxylase subunit alpha	5
malonate_beta	TIGR03133.1	JCVI: biotin-independent malonate decarboxylase subunit beta	4
PRK07189.1	NF005530.0	NCBI Protein Cluster (PRK): biotin-independent malonate decarboxylase subunit beta	4
PRK01911.1	NF002521.0	NCBI Protein Cluster (PRK): NAD kinase	1
PRK03708.1	NF002984.0	NCBI Protein Cluster (PRK): NAD(+) kinase	1
PRK02155.1	NF002561.0	NCBI Protein Cluster (PRK): NAD kinase	1
PRK03372.1	NF002892.0	NCBI Protein Cluster (PRK): NAD kinase	1
PRK01185.1	NF002255.0	NCBI Protein Cluster (PRK): NAD(+) kinase	1
PRK14075.1	NF010677.0	NCBI Protein Cluster (PRK): NAD(+) kinase	1
PRK02645.1	NF002731.0	NCBI Protein Cluster (PRK): NAD(+) kinase	1
PRK04885.1	NF003424.0	NCBI Protein Cluster (PRK): NAD kinase	1
PRK14077.1	NF010679.0	NCBI Protein Cluster (PRK): NAD(+) kinase	1
PRK02649.1	NF002732.0	NCBI Protein Cluster (PRK): NAD(+) kinase	1
PRK04539.1	NF003391.0	NCBI Protein Cluster (PRK): inorganic polyphosphate/ATP-NAD kinase	1
PRK03378.1	NF002893.0	NCBI Protein Cluster (PRK): NAD(+) kinase	1
PRK02231.1	NF002579.0	NCBI Protein Cluster (PRK): NAD(+) kinase	1
PRK00561.1	NF001838.0	NCBI Protein Cluster (PRK): NAD(+) kinase	1
PRK00194.1	NF001220.0	NCBI Protein Cluster (PRK): ACT domain-containing protein	3
PRK10301.1	NF007636.0	NCBI Protein Cluster (PRK): CopC domain-containing protein YobA	3
PRK05257.3-1	NF003610.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
PRK05257.1-4	NF003605.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
PRK05257.3-3	NF003612.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
mal_quin_oxido	TIGR01320.1	JCVI: malate dehydrogenase (quinone)	1
PRK05257.2-1	NF003606.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
PRK05257.1-3	NF003604.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
PRK05257.2-4	NF003608.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
PRK13339.1	NF009875.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
PRK05257.3-2	NF003611.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
PRK05257.3-4	NF003613.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
PRK05257.3-5	NF003614.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
PRK05257.1-1	NF003603.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
PRK05257.2-5	NF003609.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
Lac_Quin_Ox_NO	NF040844.1	NCBIFAM: L-lactate dehydrogenase (quinone), SACOL2623 family	1
PRK05257.2-3	NF003607.0	NCBI Protein Cluster (PRK): malate:quinone oxidoreductase	1
YD_repeat_2x	TIGR01643.1	JCVI: YD repeat (two copies)	86
RHS_core	NF041261.1	NCBIFAM: RHS element core protein	27
DNRLRE_dom	NF033679.1	NCBIFAM: DNRLRE domain	2
lipid_A_LpxO	NF033391.2	NCBIFAM: lipid A hydroxylase LpxO	1
marine_srt_targ	TIGR03788.1	JCVI: marine proteobacterial sortase target protein	4
PRK05578.1	NF004064.0	NCBI Protein Cluster (PRK): cytidine deaminase	1
cyt_deam_tetra	TIGR01354.1	JCVI: cytidine deaminase	1
PRK12411.1	NF009076.0	NCBI Protein Cluster (PRK): cytidine deaminase	1
PRK09027.1	NF006537.0	NCBI Protein Cluster (PRK): cytidine deaminase	1
cyt_deam_dimer	TIGR01355.1	JCVI: cytidine deaminase	1
PRK06848.1	NF005314.0	NCBI Protein Cluster (PRK): cytidine deaminase	1
PRK06214.1	NF004859.0	NCBI Protein Cluster (PRK): sulfite reductase subunit alpha	4
cysJ	TIGR01931.1	JCVI: assimilatory sulfite reductase (NADPH) flavoprotein subunit	4
FNRPetHCyano	NF045929.1	NCBIFAM: ferredoxin--NADP reductase	4
PRK10953.1	NF008197.0	NCBI Protein Cluster (PRK): NADPH-dependent assimilatory sulfite reductase flavoprotein subunit	3
PRK00054.1-2	NF000797.0	NCBI Protein Cluster (PRK): dihydroorotate dehydrogenase electron transfer subunit	3
PRK00114.1	NF001033.0	NCBI Protein Cluster (PRK): Hsp33 family molecular chaperone HslO	1
PRK01402.1	NF002386.0	NCBI Protein Cluster (PRK): Hsp33 family molecular chaperone	1
isoglutsynth_MurT	NF045635.1	NCBIFAM: lipid II isoglutaminyl synthase subunit MurT	2
poly_gGlu_PgsB	TIGR04012.1	JCVI: poly-gamma-glutamate synthase PgsB	1
UU173_fam	NF045869.1	NCBIFAM: UU173 family protein	2
hydrolase_YghX	NF041440.1	NCBIFAM: YghX family hydrolase	4
PRK09358.3-3	NF006856.0	NCBI Protein Cluster (PRK): adenosine deaminase	4
PRK06545.1-5	NF005107.0	NCBI Protein Cluster (PRK): prephenate dehydrogenase	1
Trep_Strep	TIGR02185.1	JCVI: MptD family putative ECF transporter S component	1
MfnD_Meth	NF040722.1	NCBIFAM: tyramine--L-glutamate ligase	1
rep_init_RepSA	NF041486.1	NCBIFAM: replication initiator protein RepSA	1
GPH_sucrose	TIGR01301.1	JCVI: sucrose/proton symporter	5
PRK13831.1	NF010405.0	NCBI Protein Cluster (PRK): IncP-type conjugal transfer protein TrbI	6
T4SS_VirB10	NF038091.1	NCBIFAM: type IV secretion system protein VirB10	7
T4SS_ComB10	NF038092.1	NCBIFAM: DNA type IV secretion system protein ComB10	6
PRK13855.1	NF010429.0	NCBI Protein Cluster (PRK): type IV secretion system protein VirB10	6
PRK14874.1	NF011456.0	NCBI Protein Cluster (PRK): aspartate-semialdehyde dehydrogenase	7
asd_B	TIGR01296.1	JCVI: aspartate-semialdehyde dehydrogenase	3
PRK13719.1-3	NF010274.0	NCBI Protein Cluster (PRK): conjugal transfer transcriptional regulator TraJ	2
PRK09229.1-5	NF006684.0	NCBI Protein Cluster (PRK): formimidoylglutamate deiminase	4
hutF	TIGR02022.1	JCVI: formimidoylglutamate deiminase	6
PRK09229.1-4	NF006683.0	NCBI Protein Cluster (PRK): formimidoylglutamate deiminase	4
PRK09229.1-3	NF006682.0	NCBI Protein Cluster (PRK): formimidoylglutamate deiminase	3
PRK09229.1-1	NF006680.0	NCBI Protein Cluster (PRK): formimidoylglutamate deiminase	3
PRK15446.2-2	NF011986.0	NCBI Protein Cluster (PRK): alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase	1
restrict_Sau3AI	NF040973.1	NCBIFAM: Sau3AI family type II restriction endonuclease	2
PRK05070.1	NF003458.0	NCBI Protein Cluster (PRK): DNA mismatch repair endonuclease MutH	4
mutH_TIGR	TIGR02248.1	JCVI: DNA mismatch repair endonuclease MutH	3
PRK12289.1	NF008932.0	NCBI Protein Cluster (PRK): small ribosomal subunit biogenesis GTPase RsgA	2
PRK05629.1	NF004165.0	NCBI Protein Cluster (PRK): DNA polymerase III subunit delta	1
PRK05907.1	NF004570.0	NCBI Protein Cluster (PRK): hypothetical protein	1
PRK08487.1-5	NF006302.0	NCBI Protein Cluster (PRK): hypothetical protein	1
PRK07914.1	NF005918.0	NCBI Protein Cluster (PRK): hypothetical protein	1
phane_AmcA_1	NF041721.1	NCBIFAM: Actinobacterial multiple cyclophane triceptide AmcA, group 1	2
pgm_bpd_ind	TIGR01307.1	JCVI: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2
PRK05434.1-5	NF003897.0	NCBI Protein Cluster (PRK): 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1
apgM	TIGR00306.2	JCVI: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1
PRK05362.1	NF003766.0	NCBI Protein Cluster (PRK): phosphopentomutase	1
PRK04024.1	NF003104.0	NCBI Protein Cluster (PRK): 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1
PRK12383.1	NF009049.0	NCBI Protein Cluster (PRK): phosphopentomutase	1
PRK04135.1	NF003160.0	NCBI Protein Cluster (PRK): 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2
hyp_Hser_kinase	TIGR02535.1	JCVI: cofactor-independent phosphoglycerate mutase	1
PRK04200.1	NF003242.0	NCBI Protein Cluster (PRK): cofactor-independent phosphoglycerate mutase	1
phophono_PhpG	NF038358.1	NCBIFAM: CMP-5'-phosphonoformate--3-phosphoglycerate phosphonoformyl transferase	1
alk_phos_PafA	NF042991.1	NCBIFAM: alkaline phosphatase PafA	4
PRK11886.1-3	NF008848.0	NCBI Protein Cluster (PRK): bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA	4
SpheroidMoxCrtARhod	NF045923.1	NCBIFAM: spheroidene monooxygenase	1
SH3_and_anchor	TIGR04211.1	JCVI: TIGR04211 family SH3 domain-containing protein	8
rnfC_Methano	NF041837.1	NCBIFAM: Rnf electron transport complex subunit RnfC	4
PRK05888.2-6	NF004544.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit NuoI	3
flav_long	TIGR01752.1	JCVI: flavodoxin	3
PRK09267.1-2	NF006736.0	NCBI Protein Cluster (PRK): flavodoxin FldA	2
PRK09267.1-4	NF006738.0	NCBI Protein Cluster (PRK): flavodoxin FldA	2
PRK12359.1	NF009023.0	NCBI Protein Cluster (PRK): flavodoxin FldB	1
PRK09267.1-1	NF006735.0	NCBI Protein Cluster (PRK): flavodoxin FldA	3
PRK06703.1	NF005216.0	NCBI Protein Cluster (PRK): flavodoxin	4
PRK06756.1	NF005246.0	NCBI Protein Cluster (PRK): flavodoxin	1
PRK09004.1	NF006531.0	NCBI Protein Cluster (PRK): FMN-binding protein MioC	2
PRK07281.1	NF005583.0	NCBI Protein Cluster (PRK): methionyl aminopeptidase	3
PRK10879.1	NF008131.0	NCBI Protein Cluster (PRK): Xaa-Pro aminopeptidase	4
crvDNA_42K	TIGR00495.1	JCVI: ErbB3-binding protein EBP1	1
PRK15173.1	NF011720.0	NCBI Protein Cluster (PRK): peptidase	2
PRK14575.1	NF011173.0	NCBI Protein Cluster (PRK): putative peptidase	2
ectoine_eutD	TIGR02993.1	JCVI: ectoine hydrolase DoeA	1
PRK14576.1	NF011174.0	NCBI Protein Cluster (PRK): putative endopeptidase	2
ectoine_DoeA_2	NF038259.1	NCBIFAM: ectoine hydrolase	1
PRK04950.1	NF003434.0	NCBI Protein Cluster (PRK): RNA chaperone ProQ	3
PRK13754.1	NF010317.0	NCBI Protein Cluster (PRK): fertility inhibition protein FinO	3
termin_lrg_T7	NF033889.1	NCBIFAM: phage terminase large subunit	3
PRK01747.1-5	NF002484.0	NCBI Protein Cluster (PRK): bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC	2
PRK01747.1-3	NF002482.0	NCBI Protein Cluster (PRK): bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC	1
PRK08401.1	NF006254.0	NCBI Protein Cluster (PRK): L-aspartate oxidase	8
mnmG_gidA	TIGR00136.1	JCVI: tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	5
PRK08071.1	NF005978.0	NCBI Protein Cluster (PRK): L-aspartate oxidase	6
PRK14938.1	NF011500.0	NCBI Protein Cluster (PRK): Ser-tRNA(Thr) hydrolase	1
conj_TIGR03752	TIGR03752.1	JCVI: integrating conjugative element protein	1
AAC_6p_Ip	NF000486.1	NCBIFAM: aminoglycoside 6'-N-acetyltransferase AAC(6')-Ip	4
FkbH	TIGR01686.1	JCVI: FkbH domain	1
glide_MMOB4860	NF045865.1	NCBIFAM: MMOB4860 family gliding motility internal complex protein	2
PRK00481.1-5	NF001755.0	NCBI Protein Cluster (PRK): Sir2 family NAD+-dependent deacetylase	4
PRK00481.1-4	NF001754.0	NCBI Protein Cluster (PRK): NAD-dependent protein deacylase	5
glyco_TIGR04440	TIGR04440.1	JCVI: TIGR00180 family glycosyltransferase	1
PRK09862.1	NF007365.0	NCBI Protein Cluster (PRK): YifB family Mg chelatase-like AAA ATPase	7
PRK00724.1-2	NF001943.0	NCBI Protein Cluster (PRK): formate dehydrogenase accessory sulfurtransferase FdhD	2
fdhD_narQ	TIGR00129.1	JCVI: formate dehydrogenase accessory sulfurtransferase FdhD	2
PRK11509.1	NF008563.0	NCBI Protein Cluster (PRK): hydrogenase-1 operon protein HyaE	1
F420_dehyd_FpoL	NF040617.1	NCBIFAM: F420H2 dehydrogenase subunit FpoL	4
PRK08168.1	NF006029.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit L	2
PRK08601.1	NF006373.0	NCBI Protein Cluster (PRK): NADH dehydrogenase subunit 5	2
PRK12664.1	NF009307.0	NCBI Protein Cluster (PRK): putative monovalent cation/H+ antiporter subunit D	2
PRK06459.1	NF005046.0	NCBI Protein Cluster (PRK): hydrogenase 4 subunit B	3
PRK07234.1-4	NF005564.0	NCBI Protein Cluster (PRK): putative monovalent cation/H+ antiporter subunit D	1
PRK05777.2-2	NF004444.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit NuoN	2
PRK07234.1-3	NF005563.0	NCBI Protein Cluster (PRK): putative monovalent cation/H+ antiporter subunit D	2
PRK12507.1	NF009161.0	NCBI Protein Cluster (PRK): putative monovalent cation/H+ antiporter subunit B	1
PRK12504.1	NF009159.0	NCBI Protein Cluster (PRK): DUF4040 domain-containing protein	1
PRK07234.1-2	NF005562.0	NCBI Protein Cluster (PRK): putative monovalent cation/H+ antiporter subunit D	1
YgiT_finger	TIGR03831.1	JCVI: YgiT-type zinc finger domain	4
uvrC	TIGR00194.1	JCVI: excinuclease ABC subunit UvrC	6
PRK00558.1-5	NF001824.0	NCBI Protein Cluster (PRK): excinuclease ABC subunit UvrC	11
PRK04949.1	NF003433.0	NCBI Protein Cluster (PRK): sulfate transporter CysZ	1
PRK12768.1	NF009407.0	NCBI Protein Cluster (PRK): sulfate transporter family protein	1
ANT_9	NF012212.1	NCBIFAM: ANT(9) family aminoglycoside nucleotidyltransferase	2
ANT_3pp_II	NF033220.1	NCBIFAM: ANT(3'')-II family aminoglycoside nucleotidyltransferase	2
ANT_3pp_I_Serra	NF045972.1	NCBIFAM: ANT(3'')-I family aminoglycoside adenylyltransferase	2
