Most Frequent Protein ID	Frequency	Description
WP_162602728.1	1	hypothetical protein
WP_109296502.1	1	hypothetical protein
WP_092062184.1	1	hypothetical protein
WP_353640735.1	1	hypothetical protein
WP_092062193.1	1	hypothetical protein
WP_367658540.1	1	hypothetical protein
WP_147445356.1	1	hypothetical protein
WP_147445357.1	1	hypothetical protein
WP_208721186.1	1	hypothetical protein
WP_147445358.1	1	hypothetical protein
WP_131797339.1	1	hypothetical protein
WP_062652956.1	1	hypothetical protein
WP_062652957.1	1	hypothetical protein
WP_062652958.1	1	hypothetical protein
WP_062652959.1	1	hypothetical protein
WP_368984441.1	1	hypothetical protein
WP_368984443.1	1	hypothetical protein
WP_368984445.1	1	hypothetical protein
WP_368984448.1	1	hypothetical protein
WP_368984449.1	1	hypothetical protein
WP_278942984.1	1	hypothetical protein
WP_278942989.1	1	hypothetical protein
WP_388641884.1	1	hypothetical protein
WP_388641890.1	1	hypothetical protein
WP_339731021.1	1	hypothetical protein
WP_339731023.1	1	hypothetical protein
WP_339731025.1	1	hypothetical protein
WP_339731026.1	1	hypothetical protein
WP_339731028.1	1	hypothetical protein
WP_339731029.1	1	hypothetical protein
WP_339731030.1	1	hypothetical protein
WP_339731032.1	1	hypothetical protein
WP_306384341.1	1	hypothetical protein
WP_306384344.1	1	hypothetical protein
WP_306384346.1	1	hypothetical protein
WP_306384347.1	1	hypothetical protein
WP_306384348.1	1	hypothetical protein
WP_101273217.1	1	hypothetical protein
WP_101273218.1	1	hypothetical protein
WP_101273219.1	1	hypothetical protein
WP_226066124.1	1	hypothetical protein
WP_226066125.1	1	hypothetical protein
WP_226066126.1	1	hypothetical protein
WP_216805653.1	1	hypothetical protein
WP_226285370.1	1	hypothetical protein
WP_226285371.1	1	hypothetical protein
WP_226285372.1	1	hypothetical protein
WP_226285374.1	1	hypothetical protein
WP_293360136.1	1	hypothetical protein
WP_263059205.1	1	hypothetical protein
WP_126678415.1	1	hypothetical protein
WP_158676053.1	1	hypothetical protein
WP_126678417.1	1	hypothetical protein
WP_067700763.1	1	hypothetical protein
WP_156484917.1	1	hypothetical protein
WP_067700767.1	1	hypothetical protein
WP_067700770.1	1	hypothetical protein
WP_067700779.1	1	hypothetical protein
WP_324873035.1	1	hypothetical protein
WP_324873040.1	1	hypothetical protein
WP_324873044.1	1	hypothetical protein
WP_324873046.1	1	hypothetical protein
WP_097762711.1	1	hypothetical protein
WP_336996802.1	1	hypothetical protein
WP_336996803.1	1	hypothetical protein
WP_336996804.1	1	hypothetical protein
WP_336996805.1	1	hypothetical protein
WP_212478692.1	1	hypothetical protein
WP_174827682.1	1	hypothetical protein
WP_259843660.1	1	hypothetical protein
WP_259843661.1	1	hypothetical protein
WP_259843662.1	1	hypothetical protein
WP_288366217.1	1	hypothetical protein
WP_288366218.1	1	hypothetical protein
WP_288366220.1	1	hypothetical protein
WP_288366221.1	1	hypothetical protein
WP_040084204.1	1	hypothetical protein
WP_164572112.1	1	hypothetical protein
WP_164572113.1	1	hypothetical protein
WP_164572115.1	1	hypothetical protein
WP_107355075.1	1	hypothetical protein
WP_164572118.1	1	hypothetical protein
WP_164572119.1	1	hypothetical protein
WP_011413133.1	1	hypothetical protein
WP_343107370.1	1	hypothetical protein
WP_343107375.1	1	hypothetical protein
WP_343107377.1	1	hypothetical protein
WP_157835602.1	1	hypothetical protein
WP_157835603.1	1	hypothetical protein
WP_226498600.1	1	hypothetical protein
WP_291463050.1	1	hypothetical protein
WP_291463052.1	1	hypothetical protein
WP_390395387.1	1	hypothetical protein
WP_097590949.1	1	hypothetical protein
WP_097590950.1	1	hypothetical protein
WP_141502283.1	1	hypothetical protein
WP_097590952.1	1	hypothetical protein
WP_097590953.1	1	hypothetical protein
WP_097590954.1	1	hypothetical protein
WP_097590955.1	1	hypothetical protein
WP_176538939.1	1	hypothetical protein
WP_267559717.1	1	hypothetical protein
WP_267559719.1	1	hypothetical protein
WP_267559720.1	1	hypothetical protein
WP_267559721.1	1	hypothetical protein
WP_267559723.1	1	hypothetical protein
WP_097531133.1	1	hypothetical protein
WP_097531134.1	1	hypothetical protein
WP_097531135.1	1	hypothetical protein
WP_088484592.1	1	hypothetical protein
WP_087514247.1	1	hypothetical protein
WP_087514246.1	1	hypothetical protein
WP_259631747.1	1	hypothetical protein
WP_259631748.1	1	hypothetical protein
WP_259631750.1	1	hypothetical protein
WP_259631751.1	1	hypothetical protein
WP_259631752.1	1	hypothetical protein
WP_145084657.1	1	hypothetical protein
WP_145084660.1	1	hypothetical protein
WP_261342695.1	1	hypothetical protein
WP_071601511.1	1	hypothetical protein
WP_278378569.1	1	hypothetical protein
WP_278378570.1	1	hypothetical protein
WP_123843093.1	1	hypothetical protein
WP_086095301.1	1	hypothetical protein
WP_086095302.1	1	hypothetical protein
WP_390502473.1	1	hypothetical protein
WP_062730547.1	1	hypothetical protein
WP_146256437.1	1	hypothetical protein
WP_372023724.1	1	hypothetical protein
WP_372023725.1	1	hypothetical protein
WP_372023728.1	1	hypothetical protein
WP_372023729.1	1	hypothetical protein
WP_182429643.1	1	hypothetical protein
WP_087853984.1	1	hypothetical protein
WP_222235796.1	1	hypothetical protein
WP_222235801.1	1	hypothetical protein
WP_287956055.1	1	hypothetical protein
WP_287957522.1	1	hypothetical protein
WP_346238425.1	1	hypothetical protein
WP_346238424.1	1	hypothetical protein
WP_346238423.1	1	hypothetical protein
WP_346238422.1	1	hypothetical protein
WP_198383516.1	1	hypothetical protein
WP_198383518.1	1	hypothetical protein
WP_198383521.1	1	hypothetical protein
WP_198383522.1	1	hypothetical protein
WP_198383523.1	1	hypothetical protein
WP_198383524.1	1	hypothetical protein
WP_220274691.1	1	hypothetical protein
WP_115534039.1	1	hypothetical protein
WP_147297889.1	1	hypothetical protein
WP_115534041.1	1	hypothetical protein
WP_317841986.1	1	hypothetical protein
WP_317841987.1	1	hypothetical protein
WP_182787679.1	1	hypothetical protein
WP_185890634.1	1	hypothetical protein
WP_185890638.1	1	hypothetical protein
WP_185890640.1	1	hypothetical protein
WP_321906114.1	1	hypothetical protein
WP_321906115.1	1	hypothetical protein
WP_321906116.1	1	hypothetical protein
WP_321906117.1	1	hypothetical protein
WP_321906119.1	1	hypothetical protein
WP_321906120.1	1	hypothetical protein
WP_067380301.1	1	hypothetical protein
WP_216639736.1	1	hypothetical protein
WP_067380310.1	1	hypothetical protein
WP_082930051.1	1	hypothetical protein
WP_156623143.1	1	hypothetical protein
WP_156623144.1	1	hypothetical protein
WP_272669960.1	1	hypothetical protein
WP_062603020.1	1	hypothetical protein
WP_062603029.1	1	hypothetical protein
WP_156373835.1	1	hypothetical protein
WP_179255564.1	1	hypothetical protein
WP_228705670.1	1	hypothetical protein
WP_211528634.1	1	hypothetical protein
WP_211528636.1	1	hypothetical protein
WP_211528637.1	1	hypothetical protein
WP_211528639.1	1	hypothetical protein
WP_133156752.1	1	hypothetical protein
WP_133156753.1	1	hypothetical protein
WP_243721565.1	1	hypothetical protein
WP_138523486.1	1	hypothetical protein
WP_138523484.1	1	hypothetical protein
WP_138523482.1	1	hypothetical protein
WP_138523480.1	1	hypothetical protein
WP_138523476.1	1	hypothetical protein
WP_182152120.1	1	hypothetical protein
WP_182152121.1	1	hypothetical protein
WP_182152123.1	1	hypothetical protein
WP_182152125.1	1	hypothetical protein
WP_182152126.1	1	hypothetical protein
WP_153459204.1	1	hypothetical protein
WP_236695834.1	1	hypothetical protein
WP_286430442.1	1	hypothetical protein
WP_071543099.1	1	hypothetical protein
WP_072641278.1	1	hypothetical protein
WP_072641279.1	1	hypothetical protein
WP_072641280.1	1	hypothetical protein
WP_043047355.1	1	hypothetical protein
WP_164365917.1	1	hypothetical protein
WP_338476246.1	1	hypothetical protein
WP_127387735.1	1	hypothetical protein
WP_086081318.1	1	hypothetical protein
WP_246622159.1	1	hypothetical protein
WP_090663385.1	1	hypothetical protein
WP_174010478.1	1	hypothetical protein
WP_174010480.1	1	hypothetical protein
WP_174010482.1	1	hypothetical protein
WP_277286283.1	1	hypothetical protein
WP_277286284.1	1	hypothetical protein
WP_277286289.1	1	hypothetical protein
WP_277286290.1	1	hypothetical protein
WP_277286292.1	1	hypothetical protein
WP_283074171.1	1	hypothetical protein
WP_349254150.1	1	hypothetical protein
WP_283074174.1	1	hypothetical protein
WP_283074175.1	1	hypothetical protein
WP_375517880.1	1	hypothetical protein
WP_375517881.1	1	hypothetical protein
WP_148964559.1	1	hypothetical protein
WP_280524585.1	1	hypothetical protein
WP_148964560.1	1	hypothetical protein
WP_148964561.1	1	hypothetical protein
WP_148964563.1	1	hypothetical protein
WP_148964565.1	1	hypothetical protein
WP_284242504.1	1	hypothetical protein
WP_284242505.1	1	hypothetical protein
WP_284242506.1	1	hypothetical protein
WP_284242508.1	1	hypothetical protein
WP_284242510.1	1	hypothetical protein
WP_284242511.1	1	hypothetical protein
WP_284242512.1	1	hypothetical protein
WP_284242484.1	1	hypothetical protein
WP_284242514.1	1	hypothetical protein
WP_106653431.1	1	hypothetical protein
WP_060012144.1	1	hypothetical protein
WP_060012146.1	1	hypothetical protein
WP_060012148.1	1	hypothetical protein
WP_256205732.1	1	hypothetical protein
WP_350570632.1	1	hypothetical protein
WP_236169219.1	1	hypothetical protein
WP_016774369.1	1	hypothetical protein
WP_258606145.1	1	hypothetical protein
WP_294447988.1	1	hypothetical protein
WP_294447990.1	1	hypothetical protein
WP_294359563.1	1	hypothetical protein
WP_294359553.1	1	hypothetical protein
WP_294359558.1	1	hypothetical protein
WP_001348677.1	1	hypothetical protein
WP_032983272.1	1	hypothetical protein
WP_032433409.1	1	hypothetical protein
WP_300558962.1	1	hypothetical protein
WP_300558969.1	1	hypothetical protein
WP_300558971.1	1	hypothetical protein
WP_300558974.1	1	hypothetical protein
WP_300558983.1	1	hypothetical protein
WP_300558986.1	1	hypothetical protein
WP_300558989.1	1	hypothetical protein
WP_320632155.1	1	hypothetical protein
WP_157735183.1	1	hypothetical protein
WP_013428021.1	1	hypothetical protein
WP_289362518.1	1	hypothetical protein
WP_289362519.1	1	hypothetical protein
WP_289362520.1	1	hypothetical protein
WP_035361138.1	1	hypothetical protein
WP_004642846.1	1	hypothetical protein
WP_004642851.1	1	hypothetical protein
WP_372539199.1	1	hypothetical protein
WP_372539200.1	1	hypothetical protein
WP_372539202.1	1	hypothetical protein
WP_064041791.1	1	hypothetical protein
WP_064041792.1	1	hypothetical protein
WP_064041796.1	1	hypothetical protein
WP_064041797.1	1	hypothetical protein
WP_231890910.1	1	hypothetical protein
WP_162559703.1	1	hypothetical protein
WP_109950545.1	1	hypothetical protein
WP_245930825.1	1	hypothetical protein
WP_162559706.1	1	hypothetical protein
WP_109950548.1	1	hypothetical protein
WP_109950549.1	1	hypothetical protein
WP_372090360.1	1	hypothetical protein
WP_372090362.1	1	hypothetical protein
WP_283638501.1	1	hypothetical protein
WP_283638503.1	1	hypothetical protein
WP_283638505.1	1	hypothetical protein
WP_283638506.1	1	hypothetical protein
WP_074836263.1	1	hypothetical protein
WP_279923646.1	1	hypothetical protein
WP_323162647.1	1	hypothetical protein
WP_326379895.1	1	hypothetical protein
WP_326379896.1	1	hypothetical protein
WP_326379897.1	1	hypothetical protein
WP_326379898.1	1	hypothetical protein
WP_326379901.1	1	hypothetical protein
WP_055718627.1	1	hypothetical protein
WP_159051782.1	1	hypothetical protein
WP_055718630.1	1	hypothetical protein
WP_055718631.1	1	hypothetical protein
WP_055718632.1	1	hypothetical protein
WP_186871154.1	1	hypothetical protein
WP_186871157.1	1	hypothetical protein
WP_279980103.1	1	hypothetical protein
WP_001273438.1	1	hypothetical protein
WP_162540366.1	1	hypothetical protein
WP_419343226.1	1	hypothetical protein
WP_042893639.1	1	hypothetical protein
WP_419343232.1	1	hypothetical protein
WP_165492547.1	1	hypothetical protein
WP_000122748.1	1	hypothetical protein
WP_121975888.1	1	hypothetical protein
WP_151711589.1	1	hypothetical protein
WP_234114304.1	1	hypothetical protein
WP_420923540.1	1	hypothetical protein
WP_161401524.1	1	hypothetical protein
WP_215903000.1	1	hypothetical protein
WP_151731008.1	1	hypothetical protein
WP_257514727.1	1	hypothetical protein
WP_374174217.1	1	hypothetical protein
WP_374174219.1	1	hypothetical protein
WP_374174220.1	1	hypothetical protein
WP_320524143.1	1	hypothetical protein
WP_320524111.1	1	hypothetical protein
WP_320524114.1	1	hypothetical protein
WP_142588941.1	1	hypothetical protein
WP_052642662.1	1	hypothetical protein
WP_142588943.1	1	hypothetical protein
WP_142588944.1	1	hypothetical protein
WP_142588946.1	1	hypothetical protein
WP_142588948.1	1	hypothetical protein
WP_157659549.1	1	hypothetical protein
WP_157659550.1	1	hypothetical protein
WP_080426689.1	1	hypothetical protein
WP_080426690.1	1	hypothetical protein
WP_080426691.1	1	hypothetical protein
WP_232457805.1	1	hypothetical protein
WP_292426855.1	1	hypothetical protein
WP_287208911.1	1	hypothetical protein
WP_292426865.1	1	hypothetical protein
WP_292426868.1	1	hypothetical protein
WP_292426871.1	1	hypothetical protein
WP_317540781.1	1	hypothetical protein
WP_317540782.1	1	hypothetical protein
WP_307362848.1	1	hypothetical protein
WP_307494299.1	1	hypothetical protein
WP_256674642.1	1	hypothetical protein
WP_073470937.1	1	hypothetical protein
WP_073470938.1	1	hypothetical protein
WP_143170049.1	1	hypothetical protein
WP_073470942.1	1	hypothetical protein
WP_214353272.1	1	hypothetical protein
WP_214353274.1	1	hypothetical protein
WP_390117567.1	1	hypothetical protein
WP_390117571.1	1	hypothetical protein
WP_390117574.1	1	hypothetical protein
WP_390117576.1	1	hypothetical protein
WP_147303294.1	1	hypothetical protein
WP_181905826.1	1	hypothetical protein
WP_116242453.1	1	hypothetical protein
WP_147303297.1	1	hypothetical protein
WP_116242456.1	1	hypothetical protein
WP_147303298.1	1	hypothetical protein
WP_259671785.1	1	hypothetical protein
WP_176089765.1	1	hypothetical protein
WP_176089766.1	1	hypothetical protein
WP_176089769.1	1	hypothetical protein
WP_176089770.1	1	hypothetical protein
WP_176089772.1	1	hypothetical protein
WP_129158954.1	1	hypothetical protein
WP_248309699.1	1	hypothetical protein
WP_129158958.1	1	hypothetical protein
WP_302718378.1	1	hypothetical protein
WP_302718381.1	1	hypothetical protein
WP_302718383.1	1	hypothetical protein
WP_302718384.1	1	hypothetical protein
WP_302718386.1	1	hypothetical protein
WP_302718388.1	1	hypothetical protein
WP_212649899.1	1	hypothetical protein
WP_302718395.1	1	hypothetical protein
WP_212337646.1	1	hypothetical protein
WP_212337648.1	1	hypothetical protein
WP_212337650.1	1	hypothetical protein
WP_212337651.1	1	hypothetical protein
WP_307575723.1	1	hypothetical protein
WP_307575725.1	1	hypothetical protein
WP_307575727.1	1	hypothetical protein
WP_307575729.1	1	hypothetical protein
WP_307575731.1	1	hypothetical protein
WP_004760346.1	1	hypothetical protein
WP_004760348.1	1	hypothetical protein
WP_273795599.1	1	hypothetical protein
WP_192599946.1	1	hypothetical protein
WP_192599949.1	1	hypothetical protein
WP_192599950.1	1	hypothetical protein
WP_192599951.1	1	hypothetical protein
WP_273822728.1	1	hypothetical protein
WP_273822730.1	1	hypothetical protein
WP_273822732.1	1	hypothetical protein
WP_273822735.1	1	hypothetical protein
WP_273822736.1	1	hypothetical protein
WP_024648492.1	1	hypothetical protein
WP_164821144.1	1	hypothetical protein
WP_127666261.1	1	hypothetical protein
WP_127666262.1	1	hypothetical protein
WP_127666263.1	1	hypothetical protein
WP_027988972.1	1	hypothetical protein
WP_204100841.1	1	hypothetical protein
WP_366138301.1	1	hypothetical protein
WP_366138304.1	1	hypothetical protein
WP_236364641.1	1	hypothetical protein
WP_236364643.1	1	hypothetical protein
WP_236364645.1	1	hypothetical protein
WP_235518119.1	1	hypothetical protein
WP_056483741.1	1	hypothetical protein
WP_156362143.1	1	hypothetical protein
WP_056483744.1	1	hypothetical protein
WP_231851241.1	1	hypothetical protein
WP_082027216.1	1	hypothetical protein
WP_045535237.1	1	hypothetical protein
WP_070244150.1	1	hypothetical protein
WP_061394533.1	1	hypothetical protein
WP_011701330.1	1	hypothetical protein
WP_054314219.1	1	hypothetical protein
WP_353056255.1	1	hypothetical protein
WP_215410252.1	1	hypothetical protein
WP_215410254.1	1	hypothetical protein
WP_215410255.1	1	hypothetical protein
WP_215410256.1	1	hypothetical protein
WP_337322638.1	1	hypothetical protein
WP_337322640.1	1	hypothetical protein
WP_337322641.1	1	hypothetical protein
WP_337322643.1	1	hypothetical protein
WP_214650719.1	1	hypothetical protein
WP_298227148.1	1	hypothetical protein
WP_298227150.1	1	hypothetical protein
WP_298227152.1	1	hypothetical protein
WP_252094077.1	1	hypothetical protein
WP_183895367.1	1	hypothetical protein
WP_353468939.1	1	hypothetical protein
WP_353468940.1	1	hypothetical protein
WP_353468941.1	1	hypothetical protein
WP_353468942.1	1	hypothetical protein
WP_353469401.1	1	hypothetical protein
WP_250628389.1	1	hypothetical protein
WP_250628391.1	1	hypothetical protein
WP_250628392.1	1	hypothetical protein
WP_250628395.1	1	hypothetical protein
