Protein ID	Frequency	Description
WP_284414952.1	1	hypothetical protein
WP_284414954.1	1	7-cyano-7-deazaguanine synthase
WP_284414956.1	1	PfkB family carbohydrate kinase
WP_284413497.1	1	integrase core domain-containing protein
WP_143104186.1	1	hypothetical protein
WP_143104187.1	1	hypothetical protein
WP_143104188.1	1	DUF6932 family protein
WP_092082367.1	1	hypothetical protein
WP_092082369.1	1	reverse transcriptase family protein
WP_143104189.1	1	phosphoribosyltransferase-like protein
WP_092082373.1	1	adenosylcobalamin-dependent ribonucleoside-diphosphate reductase
WP_245759676.1	1	DUF1489 family protein
WP_143104190.1	1	hypothetical protein
WP_092082379.1	1	ATP phosphoribosyltransferase
WP_092082381.1	1	ATP phosphoribosyltransferase regulatory subunit
WP_257869204.1	1	hypothetical protein
WP_257869205.1	1	hypothetical protein
WP_257869206.1	1	hypothetical protein
WP_257869207.1	1	hypothetical protein
WP_257869208.1	1	hypothetical protein
WP_257869209.1	1	hypothetical protein
WP_257869210.1	1	HAD family hydrolase
WP_257869211.1	1	SIS domain-containing protein
WP_308224993.1	1	collagen-binding domain-containing protein
WP_257869212.1	1	hypothetical protein
WP_074453291.1	1	PfkB family carbohydrate kinase
WP_074453292.1	1	nucleotidyl transferase AbiEii/AbiGii toxin family protein
WP_245686350.1	1	type IV toxin-antitoxin system AbiEi family antitoxin
WP_074453294.1	1	hypothetical protein
WP_074453295.1	1	hypothetical protein
WP_074453296.1	1	HAD hydrolase family protein
WP_077491246.1	1	DUF4252 domain-containing protein
WP_249158488.1	1	RNA polymerase sigma factor
WP_023847573.1	1	PfkB family carbohydrate kinase
WP_230493516.1	1	hypothetical protein
WP_218815771.1	1	hypothetical protein
WP_088475137.1	1	PfkB family carbohydrate kinase
WP_004584220.1	1	DUF4252 domain-containing protein
WP_232523866.1	1	RNA polymerase sigma factor
WP_097616287.1	1	hypothetical protein
WP_257013088.1	1	type IV toxin-antitoxin system AbiEi family antitoxin
WP_232525108.1	1	RNA polymerase sigma factor
WP_021661983.1	1	hypothetical protein
WP_021661982.1	1	DUF4252 domain-containing protein
WP_192482490.1	1	hypothetical protein
WP_216113906.1	1	hypothetical protein
WP_216113907.1	1	hypothetical protein
WP_244990409.1	1	hypothetical protein
WP_342356984.1	1	DDE-type integrase/transposase/recombinase
WP_123116688.1	1	1-deoxy-D-xylulose-5-phosphate synthase
WP_123116689.1	1	hypothetical protein
WP_123116692.1	1	transposase
WP_123116693.1	1	GNAT family N-acetyltransferase
WP_123115876.1	1	IS110 family transposase
WP_240647797.1	1	PhzF family phenazine biosynthesis protein
WP_345880449.1	1	hypothetical protein
WP_345880450.1	1	monovalent cation:proton antiporter-2 (CPA2) family protein
WP_345880451.1	1	tRNA lysidine(34) synthetase TilS
WP_345880452.1	1	DNA polymerase III subunit alpha
WP_345869970.1	1	response regulator
WP_167715231.1	1	DNA polymerase III subunit alpha
WP_167715234.1	1	tRNA lysidine(34) synthetase TilS
WP_144221401.1	1	monovalent cation:proton antiporter-2 (CPA2) family protein
WP_167715236.1	1	hypothetical protein
WP_224663360.1	1	Rid family hydrolase
WP_224663361.1	1	DNA adenine methylase
WP_224663362.1	1	hypothetical protein
WP_224663363.1	1	ParB/RepB/Spo0J family partition protein
WP_224663364.1	1	carbamoyl-phosphate synthase large subunit
WP_224663365.1	1	SH3 domain-containing protein
WP_224663366.1	1	metallophosphoesterase family protein
WP_224663367.1	1	ArsR/SmtB family transcription factor
WP_319856775.1	1	DNA cytosine methyltransferase
WP_319856776.1	1	ATP-binding protein
WP_319856777.1	1	hypothetical protein
WP_319856778.1	1	hypothetical protein
WP_319856779.1	1	hypothetical protein
WP_319856780.1	1	hypothetical protein
WP_319856782.1	1	reverse transcriptase family protein
WP_319856783.1	1	LuxR family transcriptional regulator
WP_019453290.1	1	LPS export ABC transporter permease LptG
WP_301730531.1	1	hypothetical protein
WP_301730532.1	1	hypothetical protein
WP_301730533.1	1	DUF4225 domain-containing protein
WP_301730534.1	1	type VI secretion system tube protein Hcp
WP_301730535.1	1	DNA methyltransferase
WP_301730536.1	1	hypothetical protein
WP_301730537.1	1	hypothetical protein
WP_301730538.1	1	hypothetical protein
WP_301730539.1	1	hypothetical protein
WP_301730540.1	1	hypothetical protein
WP_301730541.1	1	hypothetical protein
WP_109585271.1	1	hypothetical protein
WP_109585272.1	1	site-specific integrase
WP_109585273.1	1	hypothetical protein
WP_109585274.1	1	hypothetical protein
WP_109585275.1	1	hypothetical protein
WP_109585276.1	1	hypothetical protein
WP_109585277.1	1	hypothetical protein
WP_309136576.1	1	replication initiator protein A
WP_109585279.1	1	thiosulfohydrolase SoxB
WP_109585280.1	1	TlpA disulfide reductase family protein
WP_109585281.1	1	sulfur oxidation c-type cytochrome SoxX
WP_290764645.1	1	DUF1778 domain-containing protein
WP_290764647.1	1	GNAT family N-acetyltransferase
WP_290764649.1	1	helix-turn-helix domain-containing protein
WP_290764651.1	1	phage integrase N-terminal domain-containing protein
WP_290764656.1	1	hypothetical protein
WP_290764657.1	1	hypothetical protein
WP_338439327.1	1	Arm DNA-binding domain-containing protein
WP_338439329.1	1	hypothetical protein
WP_049198709.1	1	S9 family peptidase
WP_036918345.1	1	antibiotic biosynthesis monooxygenase
WP_265497100.1	1	helix-turn-helix transcriptional regulator
WP_004248088.1	1	GNAT family N-acetyltransferase
WP_265496804.1	1	hypothetical protein
WP_260442476.1	1	transposase
WP_161679976.1	1	hypothetical protein
WP_161679974.1	1	hypothetical protein
WP_158257628.1	1	helix-turn-helix transcriptional regulator
WP_158257629.1	1	helix-turn-helix domain-containing protein
WP_088741383.1	1	hypothetical protein
WP_106525721.1	1	type II toxin-antitoxin system RelE/ParE family toxin
WP_088741381.1	1	recombinase family protein
WP_146140714.1	1	hypothetical protein
WP_088741379.1	1	hypothetical protein
WP_146140715.1	1	transposase
WP_195863856.1	1	hypothetical protein
WP_206573199.1	1	CoA pyrophosphatase
WP_338143872.1	1	aminodeoxychorismate synthase component I
WP_206573200.1	1	fumarate hydratase
WP_206573201.1	1	hypothetical protein
WP_206573202.1	1	hypothetical protein
WP_206573203.1	1	hypothetical protein
WP_206573204.1	1	N-6 DNA methylase
WP_206573205.1	1	FKBP-type peptidyl-prolyl cis-trans isomerase
WP_206573206.1	1	VWA domain-containing protein
WP_206573207.1	1	transglutaminase domain-containing protein
WP_206573208.1	1	glutamine cyclotransferase
WP_172428073.1	1	hypothetical protein
WP_097653086.1	1	reverse transcriptase domain-containing protein
WP_051809901.1	1	recombinase family protein
WP_169789931.1	1	peptidase inhibitor family I36 protein
WP_030443119.1	1	RNA polymerase sigma factor
WP_030443120.1	1	hypothetical protein
WP_030443121.1	1	hypothetical protein
WP_169789932.1	1	HD domain-containing protein
WP_030443123.1	1	radical SAM protein
WP_030443124.1	1	hypothetical protein
WP_030443125.1	1	hypothetical protein
WP_157437795.1	1	hypothetical protein
WP_030443126.1	1	hypothetical protein
WP_205387972.1	1	hypothetical protein
WP_080992932.1	1	type II toxin-antitoxin system HicA family toxin
WP_280077497.1	1	dUTP diphosphatase
WP_280077498.1	1	hypothetical protein
WP_280077499.1	1	hypothetical protein
WP_280077500.1	1	N-6 DNA methylase
WP_280077501.1	1	tyrosine-type recombinase/integrase
WP_023535804.1	1	hypothetical protein
WP_059183456.1	1	DUF3077 domain-containing protein
WP_280077502.1	1	methyltransferase
WP_201203313.1	1	type II toxin-antitoxin system HigB family toxin
WP_201203320.1	1	transcriptional regulator
WP_201203329.1	1	dUTP diphosphatase
WP_201203331.1	1	hypothetical protein
WP_201203333.1	1	hypothetical protein
WP_201203339.1	1	N-6 DNA methylase
WP_201203340.1	1	integrase arm-type DNA-binding domain-containing protein
WP_201203341.1	1	hypothetical protein
WP_201203343.1	1	DUF3077 domain-containing protein
WP_201203344.1	1	methyltransferase
WP_219897227.1	1	hemerythrin domain-containing protein
WP_219897228.1	1	hypothetical protein
WP_219897229.1	1	hypothetical protein
WP_370627362.1	1	hypothetical protein
WP_219897231.1	1	Dam family site-specific DNA-(adenine-N6)-methyltransferase
WP_219897232.1	1	hypothetical protein
WP_219897233.1	1	ParB/RepB/Spo0J family partition protein
WP_255567957.1	1	excinuclease ABC subunit UvrB
WP_255567958.1	1	extensin family protein
WP_219897235.1	1	DNA methyltransferase
WP_219897236.1	1	PadR family transcriptional regulator
WP_352671148.1	1	hypothetical protein
WP_352671151.1	1	ATP-binding protein
WP_352671154.1	1	RHE_PE00001 family protein
WP_352671157.1	1	recombinase family protein
WP_352671160.1	1	hypothetical protein
WP_352671163.1	1	plasmid replication protein RepC
WP_352671166.1	1	plasmid partitioning protein RepB
WP_039303608.1	1	SsrA-binding protein SmpB
WP_039323768.1	1	integrase domain-containing protein
WP_039323770.1	1	helix-turn-helix transcriptional regulator
WP_039323772.1	1	helix-turn-helix domain-containing protein
WP_072012561.1	1	helix-turn-helix domain-containing protein
WP_039323774.1	1	phosphoribosyltransferase-like protein
WP_039323777.1	1	hypothetical protein
WP_039323782.1	1	reverse transcriptase family protein
WP_039323788.1	1	nucleotidyl transferase AbiEii/AbiGii toxin family protein
WP_039282029.1	1	type IV toxin-antitoxin system AbiEi family antitoxin
WP_186111947.1	1	permease
WP_186111948.1	1	hypothetical protein
WP_186111949.1	1	DUF5677 domain-containing protein
WP_186111950.1	1	hypothetical protein
WP_186009815.1	1	permease
WP_186009816.1	1	KPN_02809 family neutral zinc metallopeptidase
WP_098180828.1	1	winged helix-turn-helix transcriptional regulator
WP_186009819.1	1	hypothetical protein
WP_186009821.1	1	DUF5677 domain-containing protein
WP_186009823.1	1	hypothetical protein
WP_345871530.1	1	MATE family efflux transporter
WP_345871531.1	1	hypothetical protein
WP_345871532.1	1	hypothetical protein
WP_345871534.1	1	phosphoribosyltransferase-like protein
WP_345871535.1	1	N-6 DNA methylase
WP_093982108.1	1	helix-turn-helix domain-containing protein
WP_345871537.1	1	HipA domain-containing protein
WP_345871539.1	1	tetratricopeptide repeat protein
WP_345859559.1	1	peptide chain release factor H
WP_017245179.1	1	hypothetical protein
WP_017245180.1	1	MBL fold metallo-hydrolase
WP_157782552.1	1	Eco57I restriction-modification methylase domain-containing protein
WP_150297989.1	1	hypothetical protein
WP_157782553.1	1	hypothetical protein
WP_150297987.1	1	hypothetical protein
WP_017245181.1	1	DUF6602 domain-containing protein
WP_017245182.1	1	hypothetical protein
WP_011913481.1	1	MerR family transcriptional regulator
WP_011913482.1	1	integration host factor subunit alpha
WP_017245183.1	1	phenylalanine--tRNA ligase subunit beta
WP_200538992.1	1	TIGR03750 family conjugal transfer protein
WP_200678723.1	1	TIGR03745 family integrating conjugative element membrane protein
WP_008107119.1	1	TIGR03758 family integrating conjugative element protein
WP_234472681.1	1	RAQPRD family integrative conjugative element protein
WP_200678725.1	1	reverse transcriptase family protein
WP_200678728.1	1	hypothetical protein
WP_200678729.1	1	TIGR03747 family integrating conjugative element membrane protein
WP_200678731.1	1	type IV conjugative transfer system coupling protein TraD
WP_200678733.1	1	integrating conjugative element protein
WP_200678743.1	1	transglycosylase SLT domain-containing protein
WP_234472699.1	1	TIGR03759 family integrating conjugative element protein
WP_203347338.1	1	EAL domain-containing protein
WP_203347339.1	1	molybdate ABC transporter ATP-binding protein ModF
WP_182018427.1	1	methyl-accepting chemotaxis protein
WP_053808965.1	1	hypothetical protein
WP_053808966.1	1	hypothetical protein
WP_203347340.1	1	phosphoribosyltransferase-like protein
WP_203347341.1	1	N-6 DNA methylase
WP_053808995.1	1	relaxase/mobilization nuclease domain-containing protein
WP_053808996.1	1	hypothetical protein
WP_025552992.1	1	hypothetical protein
WP_203347342.1	1	tyrosine-type recombinase/integrase
WP_226929499.1	1	DUF6444 domain-containing protein
WP_152245482.1	1	McrB family protein
WP_226929493.1	1	McrC family protein
WP_152245484.1	1	hypothetical protein
WP_152245486.1	1	hypothetical protein
WP_152245488.1	1	phosphoribosyltransferase
WP_152245490.1	1	DUF5076 domain-containing protein
WP_152245492.1	1	BPSL0067 family protein
WP_152245494.1	1	STY0301 family protein
WP_226929494.1	1	M13 family metallopeptidase
WP_208186880.1	1	1-deoxy-D-xylulose-5-phosphate synthase
WP_208186883.1	1	hypothetical protein
WP_101059827.1	1	monovalent cation:proton antiporter-2 (CPA2) family protein
WP_306295064.1	1	GGDEF domain-containing protein
WP_208186885.1	1	phosphoribosyltransferase-like protein
WP_208186887.1	1	reverse transcriptase family protein
WP_208186889.1	1	transposase
WP_369007399.1	1	hypothetical protein
WP_310714986.1	1	DNA cytosine methyltransferase
WP_310714988.1	1	ATP-binding protein
WP_310714990.1	1	helicase-related protein
WP_310714992.1	1	hypothetical protein
WP_310714995.1	1	very short patch repair endonuclease
WP_310714997.1	1	hypothetical protein
WP_310714999.1	1	reverse transcriptase family protein
WP_310715001.1	1	GntR family transcriptional regulator
WP_310715003.1	1	hypothetical protein
WP_310715006.1	1	FtsK/SpoIIIE domain-containing protein
WP_310715008.1	1	hypothetical protein
WP_423740286.1	1	DUF6943 family protein
WP_423740287.1	1	hypothetical protein
WP_423740288.1	1	IS982 family transposase
WP_107317791.1	1	DUF5675 family protein
WP_192188533.1	1	hypothetical protein
WP_386735783.1	1	TRAP transporter substrate-binding protein
WP_386735784.1	1	TRAP transporter large permease
WP_386735785.1	1	NAD(P)/FAD-dependent oxidoreductase
WP_386735786.1	1	helix-turn-helix domain-containing protein
WP_386735787.1	1	plasmid recombination protein
WP_386735788.1	1	hypothetical protein
WP_386735789.1	1	hypothetical protein
WP_386735790.1	1	reverse transcriptase family protein
WP_386735791.1	1	hypothetical protein
WP_386735792.1	1	DNA cytosine methyltransferase
WP_183954672.1	1	hypothetical protein
WP_167494979.1	1	hypothetical protein
WP_377343411.1	1	hypothetical protein
WP_377343415.1	1	hypothetical protein
WP_377343417.1	1	IS3 family transposase
WP_268881411.1	1	hypothetical protein
WP_268883084.1	1	ParB N-terminal domain-containing protein
WP_268883085.1	1	hypothetical protein
WP_268883086.1	1	DNA adenine methylase
WP_268883087.1	1	OsmC family protein
WP_268883088.1	1	tyrosine recombinase XerC
WP_268883089.1	1	TraB/GumN family protein
WP_268883090.1	1	hypothetical protein
WP_189394885.1	1	5-methylcytosine restriction system specificity protein McrC
WP_275344052.1	1	hypothetical protein
WP_317063828.1	1	cache domain-containing protein
WP_317063829.1	1	hypothetical protein
WP_317063830.1	1	class I SAM-dependent methyltransferase
WP_317063831.1	1	GNAT family protein
WP_317063832.1	1	hypothetical protein
WP_317063833.1	1	hypothetical protein
WP_317063834.1	1	hypothetical protein
WP_317063835.1	1	hypothetical protein
WP_317063836.1	1	PfkB family carbohydrate kinase
WP_317063837.1	1	RNB domain-containing ribonuclease
WP_317063838.1	1	lactate utilization protein
WP_201991209.1	1	integrase domain-containing protein
WP_201991210.1	1	AAA domain-containing protein
WP_201991211.1	1	hypothetical protein
WP_092162776.1	1	hypothetical protein
WP_092162777.1	1	hypothetical protein
WP_092162778.1	1	helix-turn-helix transcriptional regulator
WP_139219226.1	1	hypothetical protein
WP_139219228.1	1	hypothetical protein
WP_092162781.1	1	hypothetical protein
WP_244543562.1	1	NADAR family protein
WP_092162791.1	1	PfkB family carbohydrate kinase
WP_092162792.1	1	hypothetical protein
WP_092162794.1	1	IS91 family transposase
WP_348272500.1	1	tyrosine-type recombinase/integrase
WP_303609600.1	1	Tn3 family transposase
WP_215976746.1	1	type II toxin-antitoxin system HipA family toxin
WP_215976747.1	1	helix-turn-helix transcriptional regulator
WP_303609601.1	1	carbohydrate-binding protein
WP_215976748.1	1	tyrosine-type recombinase/integrase
WP_215976749.1	1	hypothetical protein
WP_215976750.1	1	hypothetical protein
WP_215976751.1	1	hypothetical protein
WP_215976752.1	1	N-6 DNA methylase
WP_259647804.1	1	hypothetical protein
WP_049487815.1	1	cell division protein FtsK
WP_049487817.1	1	hypothetical protein
WP_049487819.1	1	hypothetical protein
WP_049487821.1	1	helix-turn-helix domain-containing protein
WP_049487823.1	1	HEPN domain-containing protein
WP_049487825.1	1	phosphoribosyltransferase-like protein
WP_049487827.1	1	reverse transcriptase domain-containing protein
WP_049487828.1	1	helix-turn-helix domain-containing protein
WP_080976214.1	1	IS3 family transposase
WP_207427077.1	1	hypothetical protein
WP_207427078.1	1	ATP-dependent helicase HrpB
WP_207427079.1	1	hypothetical protein
WP_207427080.1	1	reverse transcriptase family protein
WP_207427085.1	1	hypothetical protein
WP_207427087.1	1	hypothetical protein
