Most Frequent Protein ID	Frequency	Description
WP_172870344.1	1	hypothetical protein
WP_172870347.1	1	hypothetical protein
WP_371333752.1	1	hypothetical protein
WP_089187397.1	1	hypothetical protein
WP_221117958.1	1	hypothetical protein
WP_221168543.1	1	hypothetical protein
WP_206393046.1	1	hypothetical protein
WP_087230941.1	1	hypothetical protein
WP_087230947.1	1	hypothetical protein
WP_242958127.1	1	hypothetical protein
WP_143406946.1	1	hypothetical protein
WP_186723266.1	1	hypothetical protein
WP_186723265.1	1	hypothetical protein
WP_217884205.1	1	hypothetical protein
WP_308395569.1	1	hypothetical protein
WP_308395567.1	1	hypothetical protein
WP_334651472.1	1	hypothetical protein
WP_308397792.1	1	hypothetical protein
WP_367254027.1	1	hypothetical protein
WP_406708539.1	1	hypothetical protein
WP_295569305.1	1	hypothetical protein
WP_295569306.1	1	hypothetical protein
WP_371589995.1	1	hypothetical protein
WP_074560101.1	1	hypothetical protein
WP_074964671.1	1	hypothetical protein
WP_180366614.1	1	hypothetical protein
WP_093814483.1	1	hypothetical protein
WP_261370666.1	1	hypothetical protein
WP_017178753.1	1	hypothetical protein
WP_154652348.1	1	hypothetical protein
WP_143466529.1	1	hypothetical protein
WP_158102569.1	1	hypothetical protein
WP_143466530.1	1	hypothetical protein
WP_143466531.1	1	hypothetical protein
WP_374716964.1	1	hypothetical protein
WP_258996276.1	1	hypothetical protein
WP_258996277.1	1	hypothetical protein
WP_258996278.1	1	hypothetical protein
WP_258996281.1	1	hypothetical protein
WP_258996283.1	1	hypothetical protein
WP_258996284.1	1	hypothetical protein
WP_258996287.1	1	hypothetical protein
WP_312314798.1	1	hypothetical protein
WP_312314810.1	1	hypothetical protein
WP_271735505.1	1	hypothetical protein
WP_318617135.1	1	hypothetical protein
WP_318617136.1	1	hypothetical protein
WP_318617137.1	1	hypothetical protein
WP_412177852.1	1	hypothetical protein
WP_223033649.1	1	hypothetical protein
WP_223033654.1	1	hypothetical protein
WP_223033659.1	1	hypothetical protein
WP_057486539.1	1	hypothetical protein
WP_021952025.1	1	hypothetical protein
WP_021952026.1	1	hypothetical protein
WP_021952027.1	1	hypothetical protein
WP_021952029.1	1	hypothetical protein
WP_275375986.1	1	hypothetical protein
WP_363664252.1	1	hypothetical protein
WP_363664254.1	1	hypothetical protein
WP_363664255.1	1	hypothetical protein
WP_363664256.1	1	hypothetical protein
WP_182652015.1	1	hypothetical protein
WP_285425781.1	1	hypothetical protein
WP_285425784.1	1	hypothetical protein
WP_217835143.1	1	hypothetical protein
WP_217835145.1	1	hypothetical protein
WP_217835146.1	1	hypothetical protein
WP_154860024.1	1	hypothetical protein
WP_147487021.1	1	hypothetical protein
WP_147487022.1	1	hypothetical protein
WP_147487024.1	1	hypothetical protein
WP_118065456.1	1	hypothetical protein
WP_118065458.1	1	hypothetical protein
WP_118065460.1	1	hypothetical protein
WP_117636986.1	1	hypothetical protein
WP_117636987.1	1	hypothetical protein
WP_300236890.1	1	hypothetical protein
WP_300236894.1	1	hypothetical protein
WP_300236896.1	1	hypothetical protein
WP_300236898.1	1	hypothetical protein
WP_268422570.1	1	hypothetical protein
WP_070326765.1	1	hypothetical protein
WP_268422613.1	1	hypothetical protein
WP_024425245.1	1	hypothetical protein
WP_261255674.1	1	hypothetical protein
WP_261255678.1	1	hypothetical protein
WP_106417145.1	1	hypothetical protein
WP_305253732.1	1	hypothetical protein
WP_305253733.1	1	hypothetical protein
WP_305253734.1	1	hypothetical protein
WP_305253735.1	1	hypothetical protein
WP_305253736.1	1	hypothetical protein
WP_014638335.1	1	hypothetical protein
WP_002293290.1	1	hypothetical protein
WP_409396162.1	1	hypothetical protein
WP_409396167.1	1	hypothetical protein
WP_018753398.1	1	hypothetical protein
WP_018753400.1	1	hypothetical protein
WP_154656277.1	1	hypothetical protein
WP_018753402.1	1	hypothetical protein
WP_018753403.1	1	hypothetical protein
WP_018753404.1	1	hypothetical protein
WP_018753405.1	1	hypothetical protein
WP_206186439.1	1	hypothetical protein
WP_080984121.1	1	hypothetical protein
WP_251920874.1	1	hypothetical protein
WP_251920878.1	1	hypothetical protein
WP_251920879.1	1	hypothetical protein
WP_407179317.1	1	hypothetical protein
WP_407179319.1	1	hypothetical protein
WP_086321384.1	1	hypothetical protein
WP_308238605.1	1	hypothetical protein
WP_308238606.1	1	hypothetical protein
WP_110184320.1	1	hypothetical protein
WP_255049176.1	1	hypothetical protein
WP_093099985.1	1	hypothetical protein
WP_093099989.1	1	hypothetical protein
WP_157720832.1	1	hypothetical protein
WP_093099995.1	1	hypothetical protein
WP_093099997.1	1	hypothetical protein
WP_157720833.1	1	hypothetical protein
WP_093100001.1	1	hypothetical protein
WP_093100003.1	1	hypothetical protein
WP_093100005.1	1	hypothetical protein
WP_407436583.1	1	hypothetical protein
WP_407436585.1	1	hypothetical protein
WP_407436591.1	1	hypothetical protein
WP_407436594.1	1	hypothetical protein
WP_326132893.1	1	hypothetical protein
WP_003142778.1	1	hypothetical protein
WP_159971226.1	1	hypothetical protein
WP_341540680.1	1	hypothetical protein
WP_341540682.1	1	hypothetical protein
WP_117753359.1	1	hypothetical protein
WP_207661552.1	1	hypothetical protein
WP_392378302.1	1	hypothetical protein
WP_238599066.1	1	hypothetical protein
WP_317610788.1	1	hypothetical protein
WP_317610789.1	1	hypothetical protein
WP_285828098.1	1	hypothetical protein
WP_285828099.1	1	hypothetical protein
WP_285828100.1	1	hypothetical protein
WP_063307633.1	1	hypothetical protein
WP_063289107.1	1	hypothetical protein
WP_063289109.1	1	hypothetical protein
WP_063307636.1	1	hypothetical protein
WP_161817936.1	1	hypothetical protein
WP_161817941.1	1	hypothetical protein
WP_161817942.1	1	hypothetical protein
WP_161817945.1	1	hypothetical protein
WP_039032644.1	1	hypothetical protein
WP_039032647.1	1	hypothetical protein
WP_039032649.1	1	hypothetical protein
WP_039032652.1	1	hypothetical protein
WP_039032653.1	1	hypothetical protein
WP_039032654.1	1	hypothetical protein
WP_126570335.1	1	hypothetical protein
WP_111946647.1	1	hypothetical protein
WP_111946648.1	1	hypothetical protein
WP_278335809.1	1	hypothetical protein
WP_314445692.1	1	hypothetical protein
WP_314445694.1	1	hypothetical protein
WP_007593074.1	1	hypothetical protein
WP_314445700.1	1	hypothetical protein
WP_314445702.1	1	hypothetical protein
WP_264700851.1	1	hypothetical protein
WP_264700853.1	1	hypothetical protein
WP_264700855.1	1	hypothetical protein
WP_008693628.1	1	hypothetical protein
WP_347360055.1	1	hypothetical protein
WP_008693635.1	1	hypothetical protein
WP_187147425.1	1	hypothetical protein
WP_185434499.1	1	hypothetical protein
WP_283454438.1	1	hypothetical protein
WP_283454440.1	1	hypothetical protein
WP_283454444.1	1	hypothetical protein
WP_283454446.1	1	hypothetical protein
WP_283454448.1	1	hypothetical protein
WP_283454450.1	1	hypothetical protein
WP_283454453.1	1	hypothetical protein
WP_283454455.1	1	hypothetical protein
WP_241613081.1	1	hypothetical protein
WP_241602783.1	1	hypothetical protein
WP_394504887.1	1	hypothetical protein
WP_042545699.1	1	hypothetical protein
WP_049635412.1	1	hypothetical protein
WP_049635413.1	1	hypothetical protein
WP_049635415.1	1	hypothetical protein
WP_347083719.1	1	hypothetical protein
WP_225585949.1	1	hypothetical protein
WP_036528285.1	1	hypothetical protein
WP_036528291.1	1	hypothetical protein
WP_036528292.1	1	hypothetical protein
WP_404389788.1	1	hypothetical protein
WP_404389790.1	1	hypothetical protein
WP_404389794.1	1	hypothetical protein
WP_404389796.1	1	hypothetical protein
WP_404389798.1	1	hypothetical protein
WP_198609503.1	1	hypothetical protein
WP_032161441.1	1	hypothetical protein
WP_087535217.1	1	hypothetical protein
WP_152547313.1	1	hypothetical protein
WP_155005888.1	1	hypothetical protein
WP_029913464.1	1	hypothetical protein
WP_029913467.1	1	hypothetical protein
WP_155005889.1	1	hypothetical protein
WP_228972247.1	1	hypothetical protein
WP_185171865.1	1	hypothetical protein
WP_073202418.1	1	hypothetical protein
WP_073202424.1	1	hypothetical protein
WP_073202425.1	1	hypothetical protein
WP_244535187.1	1	hypothetical protein
WP_369765314.1	1	hypothetical protein
WP_369765316.1	1	hypothetical protein
WP_369765317.1	1	hypothetical protein
WP_170066898.1	1	hypothetical protein
WP_369765318.1	1	hypothetical protein
WP_270556040.1	1	hypothetical protein
WP_270556041.1	1	hypothetical protein
WP_270556042.1	1	hypothetical protein
WP_270556043.1	1	hypothetical protein
WP_270556046.1	1	hypothetical protein
WP_270556047.1	1	hypothetical protein
WP_263895512.1	1	hypothetical protein
WP_380097507.1	1	hypothetical protein
WP_380097509.1	1	hypothetical protein
WP_129700784.1	1	hypothetical protein
WP_093914526.1	1	hypothetical protein
WP_093914527.1	1	hypothetical protein
WP_093914531.1	1	hypothetical protein
WP_139226432.1	1	hypothetical protein
WP_019968930.1	1	hypothetical protein
WP_248026923.1	1	hypothetical protein
WP_248026924.1	1	hypothetical protein
WP_248026925.1	1	hypothetical protein
WP_248026926.1	1	hypothetical protein
WP_204038527.1	1	hypothetical protein
WP_243135319.1	1	hypothetical protein
WP_147417806.1	1	hypothetical protein
WP_243037281.1	1	hypothetical protein
WP_353411303.1	1	hypothetical protein
WP_353411307.1	1	hypothetical protein
WP_213977683.1	1	hypothetical protein
WP_191768847.1	1	hypothetical protein
WP_219072199.1	1	hypothetical protein
WP_219072200.1	1	hypothetical protein
WP_219072202.1	1	hypothetical protein
WP_219072203.1	1	hypothetical protein
WP_219072204.1	1	hypothetical protein
WP_219072205.1	1	hypothetical protein
WP_219072206.1	1	hypothetical protein
WP_219072207.1	1	hypothetical protein
WP_219072208.1	1	hypothetical protein
WP_039773236.1	1	hypothetical protein
WP_366181957.1	1	hypothetical protein
WP_304320208.1	1	hypothetical protein
WP_088641622.1	1	hypothetical protein
WP_191867610.1	1	hypothetical protein
WP_191867612.1	1	hypothetical protein
WP_191867616.1	1	hypothetical protein
WP_342467269.1	1	hypothetical protein
WP_280944944.1	1	hypothetical protein
WP_280944948.1	1	hypothetical protein
WP_280944962.1	1	hypothetical protein
WP_425343038.1	1	hypothetical protein
WP_280944949.1	1	hypothetical protein
WP_192476802.1	1	hypothetical protein
WP_192476738.1	1	hypothetical protein
WP_192476746.1	1	hypothetical protein
WP_192476748.1	1	hypothetical protein
WP_192476752.1	1	hypothetical protein
WP_134333646.1	1	hypothetical protein
WP_036432112.1	1	hypothetical protein
WP_155267282.1	1	hypothetical protein
WP_283690618.1	1	hypothetical protein
WP_283690619.1	1	hypothetical protein
WP_188170653.1	1	hypothetical protein
WP_188170654.1	1	hypothetical protein
WP_188170656.1	1	hypothetical protein
WP_048823450.1	1	hypothetical protein
WP_048823451.1	1	hypothetical protein
WP_048823452.1	1	hypothetical protein
WP_048823453.1	1	hypothetical protein
WP_048823454.1	1	hypothetical protein
WP_048823455.1	1	hypothetical protein
WP_048823456.1	1	hypothetical protein
WP_048823457.1	1	hypothetical protein
WP_048823459.1	1	hypothetical protein
WP_134827515.1	1	hypothetical protein
WP_134827516.1	1	hypothetical protein
WP_134827517.1	1	hypothetical protein
WP_134827519.1	1	hypothetical protein
WP_134827526.1	1	hypothetical protein
WP_003464872.1	1	hypothetical protein
WP_218565843.1	1	hypothetical protein
WP_342747307.1	1	hypothetical protein
WP_181158579.1	1	hypothetical protein
WP_166880923.1	1	hypothetical protein
WP_166880921.1	1	hypothetical protein
WP_166880919.1	1	hypothetical protein
WP_166880916.1	1	hypothetical protein
WP_318151292.1	1	hypothetical protein
WP_001707302.1	1	hypothetical protein
WP_229947887.1	1	hypothetical protein
WP_229947888.1	1	hypothetical protein
WP_241223063.1	1	hypothetical protein
WP_369608683.1	1	hypothetical protein
WP_369611743.1	1	hypothetical protein
WP_276920999.1	1	hypothetical protein
WP_276921007.1	1	hypothetical protein
WP_283500906.1	1	hypothetical protein
WP_283500907.1	1	hypothetical protein
WP_283500909.1	1	hypothetical protein
WP_283500910.1	1	hypothetical protein
WP_283500911.1	1	hypothetical protein
WP_283500912.1	1	hypothetical protein
WP_283500913.1	1	hypothetical protein
WP_278616677.1	1	hypothetical protein
WP_278616679.1	1	hypothetical protein
WP_173502966.1	1	hypothetical protein
WP_371811627.1	1	hypothetical protein
WP_116796840.1	1	hypothetical protein
WP_281623824.1	1	hypothetical protein
WP_281623826.1	1	hypothetical protein
WP_205249301.1	1	hypothetical protein
WP_251362409.1	1	hypothetical protein
WP_023758422.1	1	hypothetical protein
WP_023758429.1	1	hypothetical protein
WP_113878678.1	1	hypothetical protein
WP_395166045.1	1	hypothetical protein
WP_196382347.1	1	hypothetical protein
WP_196382352.1	1	hypothetical protein
WP_196382353.1	1	hypothetical protein
WP_196382354.1	1	hypothetical protein
WP_196382355.1	1	hypothetical protein
WP_206692811.1	1	hypothetical protein
WP_258876786.1	1	hypothetical protein
WP_003115932.1	1	hypothetical protein
WP_305828446.1	1	hypothetical protein
WP_020805464.1	1	hypothetical protein
WP_136071113.1	1	hypothetical protein
WP_286595673.1	1	hypothetical protein
WP_400977442.1	1	hypothetical protein
WP_400977445.1	1	hypothetical protein
WP_400977450.1	1	hypothetical protein
WP_400977453.1	1	hypothetical protein
WP_096713947.1	1	hypothetical protein
WP_096713952.1	1	hypothetical protein
WP_096713954.1	1	hypothetical protein
WP_141879663.1	1	hypothetical protein
WP_211729478.1	1	hypothetical protein
WP_283094327.1	1	hypothetical protein
WP_211729479.1	1	hypothetical protein
WP_349291528.1	1	hypothetical protein
WP_211729480.1	1	hypothetical protein
WP_211729481.1	1	hypothetical protein
WP_211729482.1	1	hypothetical protein
WP_141122028.1	1	hypothetical protein
WP_097506137.1	1	hypothetical protein
WP_241600109.1	1	hypothetical protein
WP_241600111.1	1	hypothetical protein
WP_241600113.1	1	hypothetical protein
WP_241600116.1	1	hypothetical protein
WP_420877842.1	1	hypothetical protein
WP_119723528.1	1	hypothetical protein
WP_119723530.1	1	hypothetical protein
WP_119723535.1	1	hypothetical protein
WP_122685630.1	1	hypothetical protein
WP_305383362.1	1	hypothetical protein
WP_305383363.1	1	hypothetical protein
WP_247173790.1	1	hypothetical protein
WP_262894380.1	1	hypothetical protein
WP_306175208.1	1	hypothetical protein
WP_060914827.1	1	hypothetical protein
WP_274800217.1	1	hypothetical protein
WP_210850864.1	1	hypothetical protein
WP_070928826.1	1	hypothetical protein
WP_277066177.1	1	hypothetical protein
WP_208373674.1	1	hypothetical protein
WP_096753659.1	1	hypothetical protein
WP_096753662.1	1	hypothetical protein
WP_096753663.1	1	hypothetical protein
WP_000250228.1	1	hypothetical protein
WP_254925291.1	1	hypothetical protein
WP_095023395.1	1	hypothetical protein
WP_095023397.1	1	hypothetical protein
WP_213976944.1	1	hypothetical protein
WP_250822755.1	1	hypothetical protein
WP_305462449.1	1	hypothetical protein
WP_395378776.1	1	hypothetical protein
WP_296922313.1	1	hypothetical protein
WP_368294281.1	1	hypothetical protein
WP_252657036.1	1	hypothetical protein
WP_417855673.1	1	hypothetical protein
WP_054580148.1	1	hypothetical protein
WP_054580151.1	1	hypothetical protein
WP_054580152.1	1	hypothetical protein
WP_054580153.1	1	hypothetical protein
WP_220184871.1	1	hypothetical protein
WP_293457535.1	1	hypothetical protein
WP_293491434.1	1	hypothetical protein
WP_293457537.1	1	hypothetical protein
WP_293491437.1	1	hypothetical protein
WP_293491438.1	1	hypothetical protein
WP_293491440.1	1	hypothetical protein
WP_028087931.1	1	hypothetical protein
WP_028087932.1	1	hypothetical protein
WP_028087933.1	1	hypothetical protein
WP_028087935.1	1	hypothetical protein
WP_339129627.1	1	hypothetical protein
WP_153986415.1	1	hypothetical protein
WP_421513612.1	1	hypothetical protein
WP_187193157.1	1	hypothetical protein
WP_216349700.1	1	hypothetical protein
WP_138067591.1	1	hypothetical protein
WP_000465046.1	1	hypothetical protein
WP_001326966.1	1	hypothetical protein
WP_035294458.1	1	hypothetical protein
WP_001402899.1	1	hypothetical protein
WP_425674566.1	1	hypothetical protein
WP_241213789.1	1	hypothetical protein
WP_032302322.1	1	hypothetical protein
WP_072820550.1	1	hypothetical protein
WP_410231196.1	1	hypothetical protein
WP_410024915.1	1	hypothetical protein
WP_223235923.1	1	hypothetical protein
WP_410224800.1	1	hypothetical protein
WP_257977355.1	1	hypothetical protein
WP_216695928.1	1	hypothetical protein
WP_172390591.1	1	hypothetical protein
WP_172390592.1	1	hypothetical protein
WP_172390593.1	1	hypothetical protein
WP_172390594.1	1	hypothetical protein
WP_172390597.1	1	hypothetical protein
WP_172390598.1	1	hypothetical protein
WP_311817023.1	1	hypothetical protein
WP_235654847.1	1	hypothetical protein
WP_097383204.1	1	hypothetical protein
WP_328589492.1	1	hypothetical protein
WP_228262766.1	1	hypothetical protein
WP_322300356.1	1	hypothetical protein
WP_278300291.1	1	hypothetical protein
WP_263222325.1	1	hypothetical protein
WP_263222327.1	1	hypothetical protein
WP_268377333.1	1	hypothetical protein
WP_328182200.1	1	hypothetical protein
WP_328182201.1	1	hypothetical protein
WP_328182202.1	1	hypothetical protein
WP_148042340.1	1	hypothetical protein
